560
Generated initial structure
Si 11.487123 27.620001 21.495830
Si 17.762438 5.368522 5.367847
Si 2.626341 25.252932 17.831220
Si 20.826032 1.576366 28.157476
Si 24.308394 6.945495 6.091099
Si 6.135326 9.518783 15.693180
Si 13.094461 9.154416 18.131881
Si 4.905828 9.180050 11.258132
Si 13.769960 22.984927 6.590866
Si 15.398564 17.587608 2.300612
Si 18.011256 5.774675 2.821445
Si 27.568795 28.037697 23.635126
Si 9.529186 3.734819 20.158525
Si 13.324270 4.417071 14.864953
Si 1.962879 26.460971 8.245839
Si 19.550624 9.727910 15.561905
Si 16.307888 6.175925 28.148370
Si 22.703719 27.305970 26.055166
Si 17.741199 26.812479 3.477790
Si 6.487520 2.266364 10.109249
Si 11.882964 8.597773 24.204650
Si 10.989093 8.866166 16.195490
Si 4.945878 23.461515 3.087418
Si 28.632834 22.622854 6.564039
Si 1.154619 23.832920 20.792006
Si 21.412201 22.595570 3.073250
Si 11.037040 4.244334 25.166896
Si 18.452348 10.265145 2.779634
Si 9.707505 10.105133 21.428973
Si 18.851609 25.841957 14.222018
Si 4.348639 20.970854 22.301981
Si 16.715762 22.587081 14.826277
Si 15.636519 12.971149 1.711736
Si 4.020960 1.880017 18.819492
Si 9.801967 15.239979 26.411861
Si 7.980182 12.490722 22.155432
Si 5.514196 27.031534 23.627371
Si 18.735305 25.400897 23.502818
Si 6.223962 25.991652 16.101583
Si 23.608324 26.090556 9.904097
Si 4.081454 7.382185 12.959018
Si 23.904413 25.100456 1.194660
Si 15.300924 12.687508 7.219019
Si 4.356230 10.453225 27.401472
Si 10.049682 15.526137 20.684531
Si 11.181629 28.209898 27.948524
Si 8.049904 14.922958 9.424593
Si 8.975534 2.032835 18.067801
Si 15.075013 2.441405 8.802101
Si 26.431445 7.707733 5.057056
Si 14.704677 28.598213 7.777548
Si 19.819795 22.325349 7.653851
Si 21.390058 11.297928 18.704563
Si 18.738832 16.001691 3.528114
Si 24.388470 9.981842 6.222518
Si 2.141704 17.545002 19.971802
Si 1.464459 15.338606 7.341882
Si 19.064838 5.882260 20.346257
Si 11.828590 27.228440 4.850586
Si 25.565502 8.222366 19.479553
Si 23.882222 16.545623 15.830216
Si 7.771864 3.606877 26.122041
Si 26.211706 18.726841 10.492834
Si 10.777868 21.326759 26.119087
Si 25.838420 22.836515 18.976886
Si 3.355919 5.525604 26.159517
Si 17.980014 1.257517 3.841203
Si 19.578050 1.141724 5.502625
Si 16.364546 20.373066 19.254915
Si 7.279541 20.941018 7.642974
Si 10.111192 21.901759 19.189721
Si 24.778255 19.413161 16.912641
Si 3.622893 11.296042 8.425666
Si 7.831710 28.244296 12.006736
Si 25.977304 18.671882 23.254716
Si 15.073839 17.153309 14.790495
Si 1.680847 19.073224 5.959099
Si 27.332840 27.710000 26.616203
Si 11.364444 1.432785 26.992920
Si 12.989156 28.066335 27.981359
Si 24.884265 9.244569 11.782736
Si 16.590435 27.212334 20.488834
Si 16.961713 3.720942 18.220202
Si 28.721508 4.922352 15.513230
Si 25.566446 21.741521 20.516441
Si 20.669554 11.065752 9.220572
Si 23.662112 23.683175 25.278025
Si 26.570735 15.317587 15.042456
Si 23.352265 19.198990 20.655073
Si 11.516323 3.631494 17.191844
Si 2.006384 14.036745 16.194050
Si 9.023155 17.543331 1.854007
Si 2.045749 24.032816 11.085338
Si 4.557694 15.622811 22.559819
Si 7.042989 18.440933 3.389729
Si 2.447088 15.877930 16.137783
Si 18.848037 21.330557 28.323858
Si 15.456410 10.042781 23.265213
Si 8.583303 13.291200 3.196779
Si 1.709821 27.954156 24.407443
Si 20.487278 12.450682 5.852241
Si 5.380237 8.006801 16.378347
Si 21.008686 19.485527 8.838149
Si 27.736228 21.661114 16.521913
Si 18.128181 12.748802 7.936468
Si 10.967235 22.219691 1.403018
Si 4.250034 2.288074 2.140406
Si 24.952896 20.702420 14.276867
Si 3.739356 14.765245 14.257210
Si 5.849652 13.147846 12.158133
Si 18.243803 18.782622 2.268512
Si 11.489153 18.524078 15.087815
Si 24.981716 19.443422 5.562164
Si 2.975925 18.987740 1.742317
Si 17.401716 27.326447 17.113277
Si 16.277270 27.361015 11.810874
Si 27.913336 26.349818 6.482152
Si 2.942116 3.821784 1.510211
Si 3.644403 20.124190 2.993282
Si 9.931318 24.656509 1.651614
Ca 23.805118 8.891934 4.308615
Ca 20.508641 18.610400 25.569216
Ca 21.581989 23.497466 8.896968
Ca 5.968307 22.017213 23.591373
Ca 28.734144 12.553295 11.416506
Ca 22.739563 10.542499 27.061205
Ca 25.035557 13.011833 22.024390
Ca 22.127200 3.887468 26.271481
Ca 15.147066 24.140809 9.961389
